ConstraintID,ConstraintType,ConstraintValue,Priority,StudentID
1,RequiredDaysOff,Friday,1,100001
2,GraduationDeadline,Spring 2028,1,100005
3,AvoidTime,8AM - 5PM,3,100008
4,AvoidDays,Thursday,1,100014
5,AvoidInstructionalMethod,In Person,2,100017
6,MinCredits,6,4,100021
7,RequiredDaysOff,Wednesday,1,100026
8,GraduationDeadline,Spring2027,2,100030
9,PreferredInstructionalMethod,Online,1,100033
10,RequiredDaysOff,"Wednesday, Friday",1,100039
11,PreferredDays,Asynchronous ,3,100043
12,PreferredTime,Evening,4,100048
13,MaxCredits,9,1,100050
